DATE,SOURCE,BUYER,SECTOR,TITLE,VALUE,NUM_SUPPLIERS,SUPPLIER,DESCRIPTION
27 Sep 2020,Contracts Finder,MOD DSG Defence Support Group,CONSTRUCTION,IRM19/7306 The Supply of Construction Spares,£8M,1,Butyl Products,"Babcock DSG Ltd - acting as agent to the UK Ministry of Defence (""the Authority"") - has under consideration a 4 year Framework Agreement for the Supply of Construction Spares

Contract Dates 08/09/2020 to 07/09/2024

Contract Value - £7,680,000"
27 Sep 2020,Contracts Finder,Leeds University,INDUSTRIAL,FA 3722 - Helium Liquefier,£1M,1,Vorbuchner,The AWARD of a contract for a Helium Liquefier.
28 Sep 2020,Contracts Finder,Pelican Procurement Services,MISCELLANEOUS,Tender for the supply and distribution of Food and Drink products to Greenshaw and Folio Trusts,£1M,7,Bidfood,"Grocery, Fresh Meat, Fresh Produce, Sandwiches, Confectionery and Soft Drinks"
28 Sep 2020,Contracts Finder,Pelican Procurement Services,MISCELLANEOUS,Tender for the supply and distribution of Food and Drink products to Greenshaw and Folio Trusts,£1M,7,Arthur David Food with Service,"Grocery, Fresh Meat, Fresh Produce, Sandwiches, Confectionery and Soft Drinks"
28 Sep 2020,Contracts Finder,Pelican Procurement Services,MISCELLANEOUS,Tender for the supply and distribution of Food and Drink products to Greenshaw and Folio Trusts,£1M,7,John Sheppard Butchers,"Grocery, Fresh Meat, Fresh Produce, Sandwiches, Confectionery and Soft Drinks"
28 Sep 2020,Contracts Finder,Pelican Procurement Services,MISCELLANEOUS,Tender for the supply and distribution of Food and Drink products to Greenshaw and Folio Trusts,£1M,7,Sheringhams Fine Foods,"Grocery, Fresh Meat, Fresh Produce, Sandwiches, Confectionery and Soft Drinks"
28 Sep 2020,Contracts Finder,Pelican Procurement Services,MISCELLANEOUS,Tender for the supply and distribution of Food and Drink products to Greenshaw and Folio Trusts,£1M,7,Reeves Butchers,"Grocery, Fresh Meat, Fresh Produce, Sandwiches, Confectionery and Soft Drinks"
28 Sep 2020,Contracts Finder,Pelican Procurement Services,MISCELLANEOUS,Tender for the supply and distribution of Food and Drink products to Greenshaw and Folio Trusts,£1M,7,Fat Boys,"Grocery, Fresh Meat, Fresh Produce, Sandwiches, Confectionery and Soft Drinks"
28 Sep 2020,Contracts Finder,Pelican Procurement Services,MISCELLANEOUS,Tender for the supply and distribution of Food and Drink products to Greenshaw and Folio Trusts,£1M,7,Chapple & Jenkins,"Grocery, Fresh Meat, Fresh Produce, Sandwiches, Confectionery and Soft Drinks"
28 Sep 2020,OJEU,Highways England,CONSTRUCTION,Area 4 Asset Delivery Maintenance and Response (M&R) Contract,£159M,1,Kier Highways,"Highways England is looking for a suitable contractor to provide and undertake all routine and cyclic maintenance, incident response, defect rectification and severe weather delivery on the all-purpose trunk roads and motorways within the South-East Region Area 4.

Additional duties will also include the ongoing maintenance of two tunnels (A20 Roundhill and A27 Southwick), maintenance of roadside technology, the provision of traffic management for the contractor's maintenance and response activities (including traffic management) during incidents and where instructed by Highways England and the maintenance of depots.

Under the CDM Regulations 2015 the contractor will be principal contractor for all work they undertake unless instructed otherwise by the service manager."
28 Sep 2020,OJEU,Network Rail Infrastructure,TRANSPORT,Office Moves,£4M,1,Harrow Green,"This framework agreement will provide a managed service solution for the provision of the following services which includes but is not limited to removal services, and other associated services and trades.

The supplier will act as a single point interface with each client representative, and deliveries which are called off via the framework."
28 Sep 2020,OJEU,Hertfordshire County Council,TRANSPORT,Hertfordshire County Council and TPPL Vehicle Contract Hire Framework,£250M,4,Volkswagen Financial Service,"Hertfordshire County Council invited tenders for organisations to participate in a 48-month agreement for the supply of vehicles under contract hire. In creating this agreement, the Council will function as a Central Purchasing Body as defined in the Public Contract Regulations 2015. The Council has made the resulting agreement available for use by all contracting authorities throughout all administrative regions of the UK, including but not limited to Government Departments and their Agencies, Non-Departmental Public Bodies, Central Government, NHS Bodies, Local Authorities, Emergency Services, Coastguard Emergency Services, Educational Establishments, Registered Social Landlords and Registered Charities, subject to said organisation being a current member of TPPL at the time of use.

The agreement is available to all members of the Procurement Partnership Ltd’s (TPPL) buying club. A list of members is available: http://www.tppl.co.uk/about-us/our-members/"
28 Sep 2020,OJEU,Hertfordshire County Council,TRANSPORT,Hertfordshire County Council and TPPL Vehicle Contract Hire Framework,£250M,4,Car Hire Day of Swansea,"Hertfordshire County Council invited tenders for organisations to participate in a 48-month agreement for the supply of vehicles under contract hire. In creating this agreement, the Council will function as a Central Purchasing Body as defined in the Public Contract Regulations 2015. The Council has made the resulting agreement available for use by all contracting authorities throughout all administrative regions of the UK, including but not limited to Government Departments and their Agencies, Non-Departmental Public Bodies, Central Government, NHS Bodies, Local Authorities, Emergency Services, Coastguard Emergency Services, Educational Establishments, Registered Social Landlords and Registered Charities, subject to said organisation being a current member of TPPL at the time of use.

The agreement is available to all members of the Procurement Partnership Ltd’s (TPPL) buying club. A list of members is available: http://www.tppl.co.uk/about-us/our-members/"
28 Sep 2020,OJEU,Hertfordshire County Council,TRANSPORT,Hertfordshire County Council and TPPL Vehicle Contract Hire Framework,£250M,4,Venson Automotive Solutions,"Hertfordshire County Council invited tenders for organisations to participate in a 48-month agreement for the supply of vehicles under contract hire. In creating this agreement, the Council will function as a Central Purchasing Body as defined in the Public Contract Regulations 2015. The Council has made the resulting agreement available for use by all contracting authorities throughout all administrative regions of the UK, including but not limited to Government Departments and their Agencies, Non-Departmental Public Bodies, Central Government, NHS Bodies, Local Authorities, Emergency Services, Coastguard Emergency Services, Educational Establishments, Registered Social Landlords and Registered Charities, subject to said organisation being a current member of TPPL at the time of use.

The agreement is available to all members of the Procurement Partnership Ltd’s (TPPL) buying club. A list of members is available: http://www.tppl.co.uk/about-us/our-members/"
28 Sep 2020,OJEU,Hertfordshire County Council,TRANSPORT,Hertfordshire County Council and TPPL Vehicle Contract Hire Framework,£250M,4,Agility,"Hertfordshire County Council invited tenders for organisations to participate in a 48-month agreement for the supply of vehicles under contract hire. In creating this agreement, the Council will function as a Central Purchasing Body as defined in the Public Contract Regulations 2015. The Council has made the resulting agreement available for use by all contracting authorities throughout all administrative regions of the UK, including but not limited to Government Departments and their Agencies, Non-Departmental Public Bodies, Central Government, NHS Bodies, Local Authorities, Emergency Services, Coastguard Emergency Services, Educational Establishments, Registered Social Landlords and Registered Charities, subject to said organisation being a current member of TPPL at the time of use.

The agreement is available to all members of the Procurement Partnership Ltd’s (TPPL) buying club. A list of members is available: http://www.tppl.co.uk/about-us/our-members/"
28 Sep 2020,Contracts Finder,Crown Commercial Service,FACILITY,"RM3830 Sub-lot 1C Facilities Management Services, Magnox Ltd",£106M,1,MITIE,"Provision of Facilities Management Services (Call-Off Contract from CCS Framework, RM3830 Facilities Management Marketplace, sub-lot 1C)"
28 Sep 2020,Contracts Finder,Department for Education,TECHNOLOGY,DfE BT Wi-Fi Vouchers,£0-£1M,1,British Telecommunications,Wi-Fi vouchers for pupils in need across England.
28 Sep 2020,Contracts Finder,MOD,TECHNOLOGY,DevOps Platform Support to the Development,£1M,1,Accenture,"***FOR TRANSPARENCY PURPOSES ONLY***

This contract has been awarded under G Cloud 11 Framework"
28 Sep 2020,Contracts Finder,Government Property Agency Cabinet Office,TECHNOLOGY,Provision of a Design Solution for Enterprise Class Wired and Wireless Infrastru,£2M,1,Stone Computers,"The procurement, configuration and installation of the Core Local Area Network including the Wireless network at the Old Admirialty building in London."
28 Sep 2020,Contracts Finder,Government Digital Service,TECHNOLOGY,WP1872 Flexible hosting environment for digital products,£7M,1,Amazon Web Services Emea Sarl UK Branch,Flexible hosting environment for digital products
28 Sep 2020,OJEU,Network Rail Infrastructure,BUSINESS,Claims Handling and Litigation Services,£6M,1,Beachcroft,Claims handling and litigation services on behalf of Network Rail.
28 Sep 2020,Contracts Finder,Department for Education,PROFESSIONAL,Children and young People Strategic Participation,£2M,1,Contact,"This notice is for the Contract award for CYP Participation which aims to support disabled children and young people with SEND to influence national and local policy and practice development, and embed their voices within strategic participation locally and nationally.

In particular, by ensuring that Parent Carer Forums can access a central point for advice and support and to facilitate the sharing of good practice.

The contractor will also provide support to local areas to create a Forum where none exists and to nurture that Forum.

The contract also provides the mechanism to fund the National Network of Parent Carer Forums, which provides a vehicle for parents to influence national SEND policy."
28 Sep 2020,Contracts Finder,Department for Education,PROFESSIONAL,Whole School SEND Contract Award Notice,£2M,1,Nasen,"This is the awarded Contract Notice for the Consortium Development Fund available to consortium partners to deliver pilot or focussed projects to address identified gaps in the provision of SEND training, resources and improve SEN Support in schools"
28 Sep 2020,Contracts Finder,Department for Education,PROFESSIONAL,Delivery Support (SEND: Targeted),£2M,1,Mott Macdonald,Notice of award for the Delivery Support contract contract to provide delivery support to local areas in embedding reforms to services for children and young people who have special educational needs and disabilities (send).
